"","plate","well","run","A","mu","lambda","solvent","control2","strain"
"183","S1L2","F05","Result_96_2020-01-13_mitacs_control",3.78061006682508,0.000226572459361119,7095.01876770082,"H2O","case","S6.45"
"184","S1L2","H10","Result_96_2020-01-13_mitacs_control",3.99120688154199,0.000157148951112271,11177.093056624,"DMSO","case","S6.45"
"185","S1L2","D10","Result_96_2020-01-13_mitacs_control",3.96510520955381,0.000210606149901358,6953.51782279033,"H2O","case","S6.45"
"186","S1L2","C06","Result_96_2020-01-13_mitacs_control",4.05414868688419,0.000178328959831529,6702.8250203422,"H2O","case","S6.45"
"187","S1L2","E09","Result_96_2020-01-13_mitacs_control",4.01765201836204,0.000210472436899582,7040.68572521214,"H2O","case","S6.45"
"188","S1L2","G12","Result_96_2020-01-13_mitacs_control",4.19232754849446,0.000300498438238693,17104.62852131,"H2O","case","S6.45"
"189","S1L2","A03","Result_96_2020-01-13_mitacs_control",3.87398685314786,0.00026706996858528,5568.15323290169,"H2O","case","S6.45"
"190","S1L2","F06","Result_96_2020-01-13_mitacs_control",3.92840368822997,0.00024280973457512,7426.19090152894,"H2O","case","S6.45"
"191","S1L2","H04","Result_96_2020-01-13_mitacs_control",3.93734439215023,0.000184800220993317,8560.7988484665,"DMSO","case","S6.45"
"192","S1L2","B02","Result_96_2020-01-13_mitacs_control",3.98667862150217,0.000220699161823067,6218.30134926811,"H2O","case","S6.45"
"193","S2L1","G11","Result_96_2020-01-13_mitacs_control",3.26382514032379,0.00013048496826609,15919.8139633191,"DMSO","case","S6.113"
"194","S2L1","E07","Result_96_2020-01-13_mitacs_control",3.47393118833241,0.000279433712401504,23598.6937442615,"ETOH","case","S6.113"
"195","S2L1","H06","Result_96_2020-01-13_mitacs_control",3.36737106564853,0.000197163910311235,17552.2384677154,"H2O","case","S6.113"
"196","S2L1","C04","Result_96_2020-01-13_mitacs_control",3.44273357296136,0.000143688119308999,15586.2035210506,"H2O","case","S6.113"
"197","S2L1","B10","Result_96_2020-01-13_mitacs_control",3.33913738491959,0.000135365436041358,14767.0760190193,"H2O","case","S6.113"
"198","S2L1","F03","Result_96_2020-01-13_mitacs_control",3.30987948780601,0.00013299773605104,16919.5821717967,"DMSO","case","S6.113"
